,mace_head
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,31.45341495502224
2000-02-01,34.49055208487403
2000-03-01,37.312258573163696
2000-04-01,40.853034377619224
2000-05-01,39.28954606819037
2000-06-01,36.73819151117641
2000-07-01,34.38562558702899
2000-08-01,33.46925460793074
2000-09-01,33.44876381798182
2000-10-01,31.876336523755672
2000-11-01,27.812673053517756
2000-12-01,25.06384416141182
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,31.743164942466343
2005-02-01,32.29889308390251
2005-03-01,34.87754137112123
2005-04-01,38.52737388380471
2005-05-01,40.27599621556346
2005-06-01,33.99722328841411
2005-07-01,32.7584446737209
2005-08-01,30.796773418178564
2005-09-01,31.721516672670685
2005-10-01,31.662946558559533
2005-11-01,28.409640210706282
2005-12-01,27.769478816799896
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,27.41176189261758
2010-02-01,28.621704498529457
2010-03-01,37.41996900155373
2010-04-01,40.51828241813382
2010-05-01,37.45183323323706
2010-06-01,33.253269530556885
2010-07-01,30.92107759803111
2010-08-01,30.04352035968476
2010-09-01,33.85189509449068
2010-10-01,29.682837979664562
2010-11-01,26.708197461052425
2010-12-01,25.533872736612892
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,
2013-02-01,
2013-03-01,
2013-04-01,
2013-05-01,
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,30.026504179105476
2017-02-01,30.279810722281095
2017-03-01,34.863270292178996
2017-04-01,38.861759676933616
2017-05-01,39.97207107244644
2017-06-01,34.12519582468576
2017-07-01,31.95920947240255
2017-08-01,31.61819376927152
2017-09-01,32.163953219329265
2017-10-01,31.178962838075382
2017-11-01,31.580523855249492
2017-12-01,29.426901116563943
