,cvao
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,30.60101276318047
2010-02-01,27.898971069869763
2010-03-01,30.72875035429441
2010-04-01,32.54739606717294
2010-05-01,34.51926245920658
2010-06-01,32.011181083646534
2010-07-01,28.130735017381056
2010-08-01,24.68188434996195
2010-09-01,22.87672036989837
2010-10-01,25.61955098247293
2010-11-01,30.385689342438127
2010-12-01,28.723944112130084
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,
2013-02-01,
2013-03-01,
2013-04-01,
2013-05-01,
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,33.99362964594568
2017-02-01,35.01894342759572
2017-03-01,36.49887549184519
2017-04-01,30.49752717032561
2017-05-01,31.525831350483067
2017-06-01,29.27156306971786
2017-07-01,30.881703158838132
2017-08-01,25.453935332246793
2017-09-01,29.972792958687933
2017-10-01,30.749837142523926
2017-11-01,30.918370796939598
2017-12-01,33.30760000424913
